path,lines,type_declarations,function_declarations,state_wrappers,task_spawns,try_optional,catch_blocks,on_change,on_receive,filemanager_default,userdefaults_standard
Fonic HiFi/Core/Audio/Diagnostics/EngineMetricsCollector.swift,53,2,2,0,0,0,0,0,0,0,0
Fonic HiFi/Presentation/Views/Home/Sections/GenresSection.swift,53,2,0,0,0,0,0,0,0,0,0
Fonic HiFiTests/TimedCacheEntryTests.swift,53,1,4,0,2,0,0,0,0,0,0
sample/AppleMusicMiniPlayer/AppleMusicMiniPlayer/View/Home.swift,53,1,0,2,0,0,0,0,0,0,0
Fonic HiFi/Data/DataManager+Maintenance.swift,52,0,2,0,0,0,2,0,0,0,2
Fonic HiFiTests/MigrationPlanTests.swift,52,1,1,0,0,0,0,0,0,0,0
Fonic HiFi/Core/Intents/PlayPauseIntent.swift,49,1,1,0,0,0,1,0,0,0,0
Fonic HiFi/Core/Intents/SkipNextIntent.swift,49,1,1,0,0,0,1,0,0,0,0
Fonic HiFi/Core/Intents/SkipPreviousIntent.swift,49,1,1,0,0,0,1,0,0,0,0
Fonic HiFi/Presentation/Views/Home/Sections/ExpandableAlbumCard.swift,49,1,0,0,0,0,0,0,0,0,0
Fonic HiFiTests/AVAudioEngineConfigTests.swift,49,1,5,0,0,0,0,0,0,0,0
Fonic HiFiTests/AudioSessionServiceTests.swift,49,1,3,0,0,0,0,0,0,0,0
Fonic HiFi/Data/Models/RecentSearch.swift,48,2,0,0,0,0,0,0,0,0,0
Fonic HiFi/Presentation/Views/Search/SearchResults.swift,48,1,0,0,0,0,0,0,0,0,0
Fonic HiFiTests/Support/AudioTestUtilities.swift,46,0,1,0,0,1,0,0,0,3,0
Fonic HiFi/Core/Audio/Diagnostics/PlaybackDiagnostics/PlaybackDiagnosticUtilities.swift,45,0,0,0,0,0,0,0,0,0,0
Fonic HiFi/Presentation/Views/Home/Sections/QuickActionsSection.swift,45,1,0,0,0,0,0,0,0,0,0
Fonic HiFiTests/QueueRepeatModeTests.swift,45,1,5,0,0,0,0,0,0,0,0
Fonic HiFi/Core/Intents/ToggleShuffleIntent.swift,44,1,1,0,0,0,0,0,0,0,0
Fonic HiFi/Data/Repositories/PaginatedFetch.swift,44,2,2,0,0,0,0,0,0,0,0
Fonic HiFiTests/Core/AI/RecommendationServiceTests.swift,44,1,3,0,0,0,0,0,0,0,0
Fonic HiFiTests/Core/AI/SmartSearchServiceTests.swift,44,1,3,0,0,0,0,0,0,0,0
Fonic HiFiTests/SearchCacheStatisticsTests.swift,44,1,3,0,0,2,0,0,0,0,0
sample/AppleMusicMiniPlayer/AppleMusicMiniPlayer/Helpers/PanGesture.swift,44,2,4,0,0,0,0,0,0,0,0
Fonic HiFi/Presentation/Views/Home/Sections/AlbumsSection.swift,43,1,0,0,0,0,0,0,0,0,0
Fonic HiFiTests/SearchResultsTests.swift,42,1,2,0,0,0,0,0,0,0,0
Fonic HiFi/Core/Services/AudioSettingsService.swift,41,1,4,1,0,0,0,0,0,0,0
Fonic HiFiTests/Presentation/SmartSearchViewModelTests.swift,41,1,3,0,0,0,0,0,0,0,0
Fonic HiFi/Utils/MainActorHelpers.swift,40,0,3,0,0,0,0,0,0,0,0
Fonic HiFiTests/AudioEngineTypeTests.swift,40,1,4,0,0,0,0,0,0,0,0
Fonic HiFiTests/ImportMetricsTests.swift,40,1,2,0,0,0,0,0,0,0,0
Fonic HiFi/Core/Audio/Services/AsyncSemaphore.swift,38,1,2,0,0,0,0,0,0,0,0
Fonic HiFi/Core/Audio/Diagnostics/DiagnosticsStatus.swift,37,2,0,0,0,0,0,0,0,0,0
Fonic HiFi/Presentation/ViewModels/Library/LibraryFilter.swift,36,1,4,0,0,0,0,0,0,0,0
Fonic HiFiTests/AudioMetricsSchedulerTests.swift,36,1,2,0,0,1,0,0,0,0,0
Fonic HiFi/Core/Audio/Playback/ABLoopState.swift,35,1,1,0,0,0,0,0,0,0,0
Fonic HiFi/Presentation/Constants/DesignTokens.swift,35,5,0,0,0,0,0,0,0,0,0
Fonic HiFi/Core/Audio/Engine/AudioUIState.swift,32,1,1,3,0,0,0,0,0,0,0
Fonic HiFi/Presentation/Environment/ThemePaletteEnvironment.swift,32,1,1,0,0,0,0,0,0,0,0
Fonic HiFi/Core/Audio/Diagnostics/Protocols/AudioPerformanceMonitoring.swift,31,1,10,0,0,0,0,0,0,0,0
Fonic HiFi/Core/Audio/Engine/ProgressTimerManager.swift,31,1,2,0,1,1,0,0,0,0,0
Fonic HiFiTests/AudioFormatTests.swift,29,1,4,0,0,0,0,0,0,0,0
Fonic HiFi/Presentation/Views/Components/AirPlayRouteButton.swift,27,1,2,0,0,0,0,0,0,0,0
Fonic HiFiTests/LogPrivacyTests.swift,26,1,4,0,0,0,0,0,0,0,0
Fonic HiFi/Core/Audio/Diagnostics/Protocols/AudioHealthMonitoring.swift,24,1,6,0,0,0,0,0,0,0,0
Fonic HiFi/Data/Extensions/URL+SourceIdentifier.swift,23,0,2,0,0,0,0,0,0,0,0
Fonic HiFi/Presentation/Environment/NowPlayingEnvironment.swift,20,1,0,0,0,0,0,0,0,0,0
Fonic HiFi/Utils/Logging/LogPrivacy.swift,20,1,3,0,0,0,0,0,0,0,0
sample/AppleMusicMiniPlayer/AppleMusicMiniPlayer/AppleMusicMiniPlayerApp.swift,20,1,0,0,0,0,0,0,0,0,0
Fonic HiFi/Data/DataManager+SmartSearch.swift,18,0,1,0,0,0,0,0,0,0,0
Fonic HiFiTests/LogCategoryTests.swift,18,1,1,0,0,0,0,0,0,0,0
Fonic HiFiTests/MainActorHelpersTests.swift,18,1,3,0,0,0,0,0,0,0,0
sample/AppleMusicMiniPlayer/AppleMusicMiniPlayer/ContentView.swift,18,1,0,0,0,0,0,0,0,0,0
Fonic HiFi Widget/FonicWidgetBundle.swift,17,1,0,0,0,0,0,0,0,0,0
Fonic HiFi/Core/Audio/Diagnostics/Protocols/AudioDiagnosticsReporting.swift,17,1,4,0,0,0,0,0,0,0,0
sample/AppleMusicBottomBar/AppleMusicBottomBar/AppleMusicBottomBarApp.swift,17,1,0,0,0,0,0,0,0,0,0
sample/CustomGlassTabBar/CustomGlassTabBar/CustomGlassTabBarApp.swift,17,1,0,0,0,0,0,0,0,0,0
sample/CustomMenu/CustomMenu/CustomMenuApp.swift,17,1,0,0,0,0,0,0,0,0,0
sample/CustomToolBottomBar/CustomToolBottomBar/CustomToolBottomBarApp.swift,17,1,0,0,0,0,0,0,0,0,0
Fonic HiFi/Utils/Extensions/UserDefaults+KVO.swift,16,0,0,0,0,0,0,0,0,0,0
Fonic HiFi/Core/Audio/Diagnostics/Protocols/AudioSessionMonitoring.swift,15,1,3,0,0,0,0,0,0,0,0
Fonic HiFi/Utils/Cache/TimedCacheEntry.swift,15,1,1,0,0,0,0,0,0,0,0
Fonic HiFi/Data/Extensions/Data+Hashing.swift,9,0,1,0,0,0,0,0,0,0,0
Fonic HiFiTests/Support/UserDefaults+Sendable.swift,1,0,0,0,0,0,0,0,0,0,0
